City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
429,Ingleside,27.88,-97.21,78.01,73,1,11.41,US,clear sky
430,Coquimbo,-29.95,-71.34,53.6,76,75,8.05,CL,broken clouds
431,Sarakhs,36.54,61.16,71.6,26,0,6.93,IR,clear sky
432,Asau,46.43,26.4,55.0,88,68,3.24,RO,broken clouds
433,Kuusamo,65.97,29.18,50.0,87,90,6.93,FI,overcast clouds
434,Kindersley,51.47,-109.17,53.6,62,20,12.75,CA,few clouds
435,Bosobolo,4.18,19.9,75.09,88,100,2.51,CD,overcast clouds
436,Fortuna,40.6,-124.16,53.6,100,1,1.7,US,clear sky
437,Sioux Lookout,50.1,-91.92,35.6,64,90,5.82,CA,overcast clouds
438,Vestmannaeyjar,63.44,-20.27,46.4,75,20,5.82,IS,few clouds
439,Zhangjiakou,40.81,114.88,45.88,49,12,2.15,CN,few clouds
440,Oussouye,12.48,-16.55,91.4,70,40,6.93,SN,scattered clouds
441,Bend,44.06,-121.32,69.01,45,1,8.05,US,clear sky
442,Talnakh,69.49,88.4,32.0,98,75,11.18,RU,light snow
443,Gewane,10.17,40.65,90.86,31,87,3.58,ET,overcast clouds
444,Maua,-23.67,-46.46,99.0,23,3,13.87,BR,clear sky
445,Nanakuli,21.39,-158.15,77.0,78,1,4.7,US,clear sky
446,Zelenoborskiy,66.84,32.36,48.02,86,93,7.31,RU,overcast clouds
447,Tanout,14.97,8.89,94.71,27,60,7.07,NE,light rain
448,Ray,23.68,85.05,77.0,94,75,0.56,IN,haze
449,Maxixe,-23.86,35.35,73.4,88,75,6.04,MZ,broken clouds
450,Nantucket,41.28,-70.1,66.2,88,75,4.7,US,broken clouds
451,Lindi,-10.0,39.72,78.8,78,20,9.17,TZ,few clouds
452,Caravelas,-17.71,-39.25,83.08,55,15,9.95,BR,few clouds
453,Bowen,-20.02,148.23,68.0,82,40,9.17,AU,scattered clouds
